index,url,status,saved,already_in_database,recipe_id,title,slug,servings,ingredient_count,step_count,tags,time_estimate_minutes,source_name,author,message
1,https://www.hellofresh.com/recipes/blackened-chicken-penne-61b0d03ab3a03377ee6b1b04,success,True,False,300326d0aabb4ca6a02968e9734fe4bc,Blackened Chicken Penne with Charred Poblano & Monterey Jack Cheese,blackened-chicken-penne-with-charred-poblano-monterey-jack-cheese,2,15,6,"main-course, north-america",35,HelloFresh,Michelle Doll Olson,
2,https://www.hellofresh.com/recipes/pork-sausage-gnocchi-bake-5dcf0dffa003f55b8d2a1044,success,True,False,e92d2f584536458f86072fdfd1decbb7,Pork Sausage Gnocchi Bake with Roasted Tomatoes & a Crispy Panko Topping,pork-sausage-gnocchi-bake-with-roasted-tomatoes-a-crispy-panko-topping,2,12,6,"main-course, southern-european",55,HelloFresh,Michelle Doll Olson,
3,https://www.hellofresh.com/recipes/adobo-loco-steak-5b76e5cd30006c0a0d19fcf2,success,True,False,38919537c2634e498268c83d774564a4,"Adobo Loco Steak with a Poblano, Corn, and Crispy Potato Hash",adobo-loco-steak-with-a-poblano-corn-and-crispy-potato-hash,2,12,6,"main-course, fusion",35,HelloFresh,HelloFresh,
4,https://recipeland.com/recipe/v/sichuan-messy-corn-stir-fry-53776,success,True,False,ea972c4aaded45b79d086f676ebc11b0,Sichuan Messy Corn Stir-Fry,sichuan-messy-corn-stir-fry,2,0,5,"side-dish, chinese, low-fat, vegetarian, quick-and-easy, corn, low-carb",15,RecipeLand.com,happyzhangbo @ Recipeland,
5,https://recipeland.com/recipe/v/butternut-squash-bell-pepper-co-51535,success,True,False,9234cbc5eeb745f39f4593ec379ecc54,"Butternut Squash, Bell Pepper, Corn & Cheddar Casserole",butternut-squash-bell-pepper-corn-cheddar-casserole,8,0,10,"main-dish, fusion, vegetarian, casseroles, squash, low-carb",80,RecipeLand.com,happyzhangbo @ Recipeland,
6,https://recipeland.com/recipe/v/roasted-cauliflower-with-garlic-52546,success,True,False,6f0d6b94f97646479deae71b28db0bf9,Roasted Cauliflower with Garlicky Soy-Ginger Sauce,roasted-cauliflower-with-garlicky-soy-ginger-sauce,4,0,15,"side-dish, asian, low-calorie, vegetables, vegetarian, gluten-free, high-fibre, low-carb, vegan",45,RecipeLand.com,happyzhangbo @ Recipeland,
7,https://recipeland.com/recipe/v/baked-herbed-zucchini-ricotta-52011,success,True,False,d7c5bbd907634cf2a3099f45757fa122,Baked & Herbed Zucchini & Ricotta,baked-herbed-zucchini-ricotta,12,0,16,"main-dish, fusion, low-calorie, low-fat, vegetarian, casseroles, cheese, baked-goods, healthy, low-carb",120,RecipeLand.com,happyzhangbo @ Recipeland,
8,https://www.simplyrecipes.com/roasted-sweet-potato-salad-recipe-7092466,success,True,False,ed51180d2fd94dd8816bda05cb5a2d89,Roasted Sweet Potato Salad,roasted-sweet-potato-salad,6,10,0,"entree, dinner, lunch, salad, american, roasted-sweet-potato-salad, sweet-potatoes, red-onion, lime, black-beans, baby-spinach, feta, winter-salad, main-dish-salad",45,Simply Recipes,Sheela Prakash,
9,https://www.simplyrecipes.com/beef-bulgogi-recipe-5235423,success,True,False,f7ca74807bbd4a21b4e4e33b63b395ef,Easy Beef Bulgogi,easy-beef-bulgogi,4,12,0,"entree, dinner, asian, korean, beef-bulgogi, bulgogi, ribeye, beef, family-dinner, main-dish",50,Simply Recipes,Cecilia Hae-Jin Lee,
10,https://www.simplyrecipes.com/spaghetti-squash-carbonara-recipe-6544101,success,True,False,f3b6c21ac30b48fab46cfe2eed8456f5,Spaghetti Squash Carbonara,spaghetti-squash-carbonara,4,9,0,"entree, dinner, american, spaghetti-squash-carbonara, spaghetti-squash, olive-oil, pancetta, garlic, eggs, parmesan-cheese, parsley, basil, carbonara",60,Simply Recipes,Hannah Zimmerman,
